"Type","Category","Message"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a car crash. Need $600 urgently for hospital bills. Please send to http://emergency-help247.org. Hurry!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a crash. Please send $800 urgently for medical bills at http://helpfamilycare.org. I’m scared, help!"
"fraud","Impersonation","Urgent: This is your bank. Suspicious activity detected. Secure your account now at http://verify.sbi-security.com or call 1800-555-1234 immediately!"
"normal","Work Update","Hey, just a reminder to update your timesheet by tonight. Thanks!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent! Verify your payroll details to avoid payment delay. Click now: http://secure.payroll-check.org or call 1-800-555-0123."
"normal","Recreation","Hey, wanna join me for a bike ride along the lake this Sunday? It’ll be fun!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bankid-check.com or call 1800-555-0123. Don't lose access!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Mega Lottery! Claim now before it expires: http://win.lottery-prize.org or call 1800-555-1234. Hurry!"
"fraud","Financial Fraud","Urgent! Your account shows a suspicious charge of $750. Verify now to secure your funds: http://secure.bankalert-check.com or call 1800-555-1234. Act fast!"
"fraud","Impersonation","Hi, this is Mike, your boss. Urgent! Buy $300 in gift cards for a client now. Send codes ASAP or we lose the deal. Confirm at http://verify.teamsecure.org"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found an awesome trail nearby!"
"fraud","Investment Scams","Urgent! Double your investment in 48 hrs with our exclusive crypto fund. Don’t miss out! Click now: http://invest.quickgainz.net Call 1800-555-0123!"
"normal","Travel","Hey, just a heads-up, I’ve confirmed our car rental for the road trip. Let me know if you wanna change anything!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0192 or visit http://fixmydevice-tech.com to secure it before it's too late!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Secure it now at http://techsafe-guard.com or call 1-800-555-0192 immediately. Don't delay!"
"normal","Work Update","Hey, just a heads-up, the project review is set for tomorrow at 10 AM. See you there!"
"normal","Social","Yo, wanna grab lunch tomorrow? I’m free around noon if you are!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-india-check.com or call 1800-555-0123. Act fast to avoid suspension!"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around noon if you are!"
"normal","Recreation","Hey, wanna join me for a quick bike ride in the park tomorrow morning?"
"normal","Social","Hey, saw your latest pic on Insta, looks amazing! Let’s hang out soon. How’s Friday at 6 PM?"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.indbank-check.com or call 1800-555-1234 to avoid suspension!"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around 1 PM if you are!"
"fraud","Phishing","Urgent: Suspicious activity on your HDFC account. Secure it now at http://hdfc-safeverify.com or call 1800-123-4567 immediately!"
"fraud","Service Fraud","Urgent! Your phone service is at risk of suspension. Verify now to avoid disconnection: http://secure.mobileverify-india.com or call 1800-555-1234!"
"normal","Work Update","Hey, just a heads-up, the client call is set for tomorrow at 10 AM. Make sure you're ready!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to an address error. Update now at http://verify.postal-track.org or call 1800-555-0123 to avoid return!"
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? It looks epic! Wanna watch it this weekend?"
"normal","Travel","Hey, just a heads-up, my train to Mumbai is delayed by an hour. Will keep you updated!"
"normal","Entertainment","Hey, have you seen the latest trailer for that new action flick? Looks epic! Wanna catch it this weekend?"
"normal","Travel","Hey, just confirmed our tickets to Bali for next week! Super excited. Let me know if you wanna add anything to the plan."
"fraud","Job Offer Scam","URGENT! Earn $400/day with our remote job offer. No experience needed. Apply now at http://quickhire.workfromhome247.org or call 1-800-555-0123! Hurry!"
"normal","Entertainment","Hey, have you seen the trailer for that new action flick? It looks insane! Wanna catch it this weekend?"
"fraud","Emotional Manipulation","Hi Mom, I’m in trouble and need help! I had an accident. Please send Rs. 10,000 urgently via http://emergency-aid.in or call 9876543210. Hurry!"
"normal","Delivery Update","Hey, your package from us is out for delivery! Expect it by end of day. Thanks for choosing us!"
"normal","Sports","Hey, did u catch the match last night? Epic comeback! Let’s watch the next one together."
"fraud","Subscription Scam","Your Hulu subscription is expiring today! Avoid cancellation by updating your payment at http://hulu-secure-update.com or call 1-800-555-0123 now!"
"normal","Delivery Update","Hey, your order is on its way! Expect delivery by tomorrow. Thanks for choosing us!"
"normal","Education","Hey, reminder to submit your project by Friday. Let me know if you need help!"
"fraud","Subscription Scam","Urgent! Your Spotify subscription will expire today. Renew now for just $9.99 or lose access: http://update.spotify-renewal.org. Act fast!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a crash. Need $800 urgently for hospital bills. Please send now via http://urgent-help-aid.com. Help me!"
"fraud","Emotional Manipulation","Hey Mom, it’s me. I’m in big trouble and need $800 urgently for legal fees. Please help ASAP via http://urgent.family-aid.net. I’m scared."
"fraud","Financial Fraud","URGENT: Your bank account is at risk! Verify now to avoid suspension at http://secure.sbi-alerts.com or call 1-800-555-0123 immediately!"
"fraud","Financial Fraud","Urgent! Your bank account is at risk. Verify your details now to avoid suspension: http://secure.india-bnkverify.com or call 1800-555-1234! Act fast!"
"fraud","Subscription Scam","Your Prime subscription is expiring today! Renew now for just $12.99 or lose access: http://secure.prime-renewal.org Urgent action needed!"
"fraud","Impersonation","Hi, it’s your boss, Mark. Urgent: Need you to buy $500 in gift cards for a client now. Send codes ASAP. Verify at http://secure.employeetasks.com"
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if u need help with anything."
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Secure it now at http://techsafe-guardian.com or call 1-800-555-0199 immediately to avoid data loss!"
"fraud","Phishing","Urgent: Your SBI account shows suspicious activity. Secure it now at http://secure.sbi-verify.in or call 1800-123-4567. Act fast to avoid loss!"
"normal","Work Update","Hey team, just a heads-up, our next meeting is set for tomorrow at 10 am. See you there!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim urgently at http://claim.lotteryrewards.org or call 9876543210 now before it expires!"
"fraud","Financial Fraud","Urgent! Your account is at risk. Verify your bank details now to avoid suspension: http://secure.sbi-confirm.in or call 1800-555-1234 immediately!"
"normal","Sports","Hey, you watching the match tonight? It’s gonna be intense!"
"normal","Family","Hey fam, let’s catch up this weekend. Miss you all!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to an address error. Update now to avoid cancellation: http://verify.postaltrack-express.com or call 1-800-555-0199!"
"normal","Sports","Hey, did u catch the soccer game? That last goal was insane!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? There’s a cool route by the river!"
"normal","Sports","Hey, wanna catch the football game tonight? Should be a close one!"
"fraud","Investment Scams","Urgent! Double your investment in 3 days with our exclusive crypto plan. Call 987-654-3210 or click http://fastwealth-crypto.net to join now! Hurry!"
"normal","Delivery Update","Hey, your package is out for delivery! Expect it to arrive by end of day. Thanks for choosing us!"
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job offer. No experience needed. Apply now before slots fill: http://quickhire.jobsfast.org or call 1-800-555-0123!"
"normal","Social","Hey, wanna grab lunch tomorrow? Thinking around 1 PM if you’re free!"
"normal","Family","Hey fam, dinner at my place tonight at 6. See ya there!"
"normal","Work Update","Hey team, quick update: our weekly meeting is now at 4 PM tomorrow. See you there!"
"fraud","Service Fraud","Urgent! Your phone service is at risk of suspension. Verify now at http://secure.service-check.net or call 1800-555-0123 to avoid disconnection!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery draw! Claim now before it expires: http://claim.lottery-wins.org or call 9876543210. Hurry!"
"fraud","Phishing","Urgent: Suspicious activity on your HDFC account. Verify immediately at http://secure.hdfc-check.com or call 1800-123-4567 to avoid suspension!"
"normal","Service Inquiry","Hey, do you guys provide home delivery? I’d like to place an order if possible. Thanks!"
"normal","Sports","Hey, wanna join me for a quick soccer game this evening? Let me know!"
"fraud","Subscription Scam","Your Hulu subscription is expiring today! Renew now for just $9.99 or lose access. Click http://hulu-renew-sub.com to avoid cancellation!"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around 1 PM if that works for you!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankalert-india.com or call 1800-555-1234 immediately!"
"fraud","Tech Support Scam","Urgent! Your device is infected with a virus. Call Tech Support now at 1-800-555-0199 or click http://fixmytech-support.com to secure it! Hurry!"
"fraud","Investment Scams","Urgent! Invest now & triple your money in 7 days! Limited slots. Click http://fastinvest-secure.org or call 1800-555-1234 to secure your spot! Act fast!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after an accident. Need Rs. 3000 urgently for hospital bills. Please send to http://helpfamily-aid.org now!"
"normal","Sports","Hey, wanna catch the soccer match tonight? It’s gonna be epic!"
"normal","Service Inquiry","Hey, do you provide home delivery for orders? I’d like to place one if possible. Thanks!"
"fraud","Impersonation","Hi, it’s your boss, Mark. Urgent: I need $1,000 in gift cards for a client now. Send codes ASAP to http://secure.giftpay-online.com or call 1-800-555-0123."
"fraud","Emotional Manipulation","Hi Mom, it’s me. I’m in trouble and need urgent help. Please send Rs. 10,000 for emergency bail at http://secure.indiarescue.org. Hurry!"
"fraud","Subscription Scam","Urgent: Your Amazon Prime subscription is expiring today! Renew now to avoid losing benefits: http://prime-renewal.amazon-secure.org or call 1-800-555-0123."
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if u wanna add anything to the plan."
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click now to apply: http://fastloan.sbi-secure.in or call 9876543210. Don’t miss out!"
"fraud","Job Offer Scam","URGENT JOB OFFER! Earn $400/day from home. No skills needed. Apply now or miss out: http://join.fastwork247.org Call 1-800-555-0123 for details!"
"normal","Work Update","Hey, just a heads-up, the client call is now at 11 AM tomorrow. Be there!"
"fraud","Emotional Manipulation","Hey Mom, I’m in trouble and need help fast. I lost everything in a robbery. Please send $300 via http://emergencyfund-help.net. I’m scared."
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? Looks insane! Wanna catch it this weekend?"
"normal","Service Inquiry","Hey, just checking if you provide home delivery for orders. Let me know! Thanks!"
"fraud","Investment Scams","Urgent! Double your investment in 3 days with our exclusive fund. Act now or lose out! Click http://fastprofit.invest-safe.org or call 9876543210!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? Found a cool trail nearby!"
"fraud","Tech Support Scam","Urgent: Your device is at risk of a virus! Secure it now at http://techsafe-guardian.com or call 1-800-555-0123 before it's too late!"
"normal","Work Update","Hey, just a heads-up, the team meeting is at 1 PM tomorrow. See you there!"
"normal","Work Update","Hey team, just a heads-up—our weekly update meeting is set for tomorrow at 10 AM. See you there!"
"fraud","Phishing","Urgent: Unusual activity detected on your HDFC account. Secure it now at http://hdfc-secure-login.com or call 1800-123-4567 immediately!"
"normal","Entertainment","Hey, have u seen the trailer for the new action flick? Looks epic! Wanna catch it this weekend?"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-india-protect.com or call 1800-555-1234 to avoid suspension!"
"normal","Entertainment","Hey, the new season of [TV show] just dropped! Wanna binge it together this weekend?"
"fraud","Job Offer Scam","URGENT! High-paying remote job offer. Earn $400/day. No exp needed. Apply now at http://quickhire.workfromhome.today or call 1-800-555-0123! Hurry!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Mega Lottery! Claim now before it expires: http://claim.lotteryrewards.org or call 1800-555-1234! Hurry!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankalert-india.com or call 1800-555-0123 immediately!"
"fraud","Subscription Scam","Urgent: Your Spotify subscription is expiring today! Renew now for $9.99 or lose access. Click: http://renew.spotify-premium.org or call 1-800-555-0123."
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now: http://fastcash.loan-secure.in or call 9876543210. Don't miss out!"
"normal","Education","Hey, don’t forget the project deadline is this Friday. Let’s finish strong!"
"fraud","Phishing","Alert: Suspicious activity on your HDFC account. Secure it now at http://hdfc-securelogin.com or call 1800-123-4567. Act fast to avoid loss!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details to avoid payment delay. Click now: http://secure.payroll-check.org or call 1-800-555-1234."
"fraud","Phishing","Urgent! Unusual activity detected on your HDFC account. Secure it now at http://hdfc-secure-login.com or call 1800-555-1234 immediately!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bank-alerts.in or call 1800-987-6543 immediately!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to address error. Update now at http://verify.postaltrack-india.com or call 9876543210 to avoid return!"
"fraud","Phishing","Urgent! Your HDFC account has suspicious activity. Secure it now at http://hdfc-secure-login.com or call 1800-555-1234. Act fast to avoid loss!"
"normal","Entertainment","Hey, the new season of [TV show] just dropped! Wanna binge-watch this weekend?"
"fraud","Fake Delivery Scam","Urgent: Your package is delayed due to payment issues. Pay $1.99 now to release it at http://delivery.india-expresspay.com or call 9876543210. Hurry!"
"normal","Service Inquiry","Hi, could you tell me if you provide home delivery for your products? Thanks!"
"normal","Service Inquiry","Hey, are your services available this weekend? I’d like to know more. Thanks!"
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if you wanna plan anything special."
"normal","Service Inquiry","Hi, could you let me know if you provide home delivery for orders? Thanks!"
"normal","Family","Hey fam, let’s catch up this weekend. How about a movie night on Saturday?"
"normal","Sports","Hey, wanna catch the football match tonight? Should be a good one!"
"normal","Delivery Update","Hey, your order is on its way! Expect delivery by 6 PM today. Thanks for choosing us!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.india-bankcheck.com or call 1800-555-1234. Act fast to avoid closure!"
"normal","Travel","Hey, just a heads-up, I’ve confirmed our tickets to Bali for next week. Can’t wait! Let me know if u need help with packing."
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now at http://win.lottery-prize.org or call 9876543210. Hurry, offer expires today!"
"normal","Social","Hey, saw your latest pic on Insta—looks amazing! Wanna grab coffee tomorrow at 2?"
"normal","Travel","Hey, just checked in for our flight to Bali. Board at 3 PM. See you at the gate!"
"normal","Sports","Hey, u watching the match tonight? Can’t wait to see who wins!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a car crash and need $800 for hospital bills urgently. Please send to http://helpfamilycare.org now!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-protect.in or call 1800-555-1234 to avoid suspension!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found a cool route nearby!"
"fraud","Impersonation","Hi, it’s your boss, Mark. Urgent: I need $300 in gift cards for a client. Buy now and send codes. Verify at http://secure.office-needs.com ASAP!"
"normal","Sports","Hey, wanna catch the football match at my place this Sunday? Got snacks and drinks ready!"
"normal","Education","Hey, reminder: the library study session is on tonight at 6 PM. See u there!"
"fraud","Loan Scam","Urgent! Get loan up to Rs. 10 lakhs today. Low EMI! Click now: http://fastloan.sbi-secureapply.co.in or call 9876543210. Hurry, offer ends soon!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Mega Lottery! Claim now before it expires: http://claim.lotterywinz.org or call 9876543210. Hurry!"
"normal","Service Inquiry","Hey, do you provide home delivery for orders? Let me know! Thanks!"
