"Type","Category","Message"
"fraud","Job Offer Scam","Amazing job offer! Earn $5,000/month working from home. No experience needed. Apply today: http://dreamjobnow.xyz"
"normal","Education","Wanna team up for a study group tomorrow for chem?"
"normal","Travel","Hey, flight delayed by an hour. Will reach Delhi around 3 PM."
"normal","Family","Hey, dinner’s ready! Come home soon if you can."
"fraud","Financial Fraud","Critical: Your debit card is locked due to suspicious activity. Unlock at http://cardsecure-fix.com immediately!"
"fraud","Phishing","Emergency! Your Paytm wallet shows fraud activity. Secure it at http://paytm-protect-now.com before funds are lost!"
"fraud","Phishing","Critical! ICICI Bank detected unusual login. Protect your funds at http://icici-safety-check.com right now!"
"fraud","Job Offer Scam","Don’t wait! Earn $500/day from home. Easy tasks, no skills. Apply at: http://swiftjobentry.com"
"fraud","Tech Support Scam","Urgent! Your system is hacked. Contact support at 1-800-999-0123 before your personal data is stolen!"
"fraud","Financial Fraud","ALERT! Unusual activity detected on your account. Secure it now at http://bankguard-secure.com or risk losing funds!"
"fraud","Fake Delivery Scam","Delivery Failed! Your parcel needs urgent action. Reschedule at http://parcel-retry.net before it’s sent back!"
"fraud","Investment Scams","Invest $500 today, get $5000 tomorrow! Hurry, offer ends soon: http://instantcash-grow.com"
"fraud","Fake Delivery Scam","DHL Notice: Your shipment is delayed. Confirm details immediately at http://dhl-urgentupdate.com or it’s returned!"
"normal","Social","Hey, let’s hang out soon. Miss chatting with you!"
"fraud","Phishing","Urgent: SBI Bank notice. Your account is at risk. Verify now at http://sbi-secure-access.com to prevent deactivation!"
"fraud","Service Fraud","Emergency! Your mobile plan is about to be terminated. Act fast at http://quickfix.mobileguard.com!"
"fraud","Service Fraud","Critical! Internet disconnection scheduled for today. Avoid it by paying at http://protect.netbillingzone.com!"
"normal","Delivery Update","Your package is out for delivery. Keep an eye out for it today!"
"fraud","Subscription Scam","Alert! Your Spotify payment failed. Update your card details immediately: http://spotify-fixpayment.com"
"normal","Delivery Update","Great news! Your return has been processed. Refund coming in 3-5 days."
"fraud","Tech Support Scam","Warning! Your device is under attack. Visit http://techrescue-online.com now to stop data loss!"
"fraud","Financial Fraud","Your account is at risk! Update your security details at http://safeaxis-protect.com to avoid suspension."
"normal","Recreation","Hey, wanna try rock climbing at the indoor gym this Friday? It’s super fun!"
"fraud","Loan Scam","Alert! Get Rs. 7 lakh loan instantly. Low interest! Click: http://quickcash.loansecure.net before slots fill up!"
"fraud","Service Fraud","Warning! Your phone service will be disconnected in 2 hours. Secure it now at http://urgent.telcopay.net!"
"fraud","Identity Theft","Warning! Your PAN details are at risk. Confirm now at http://pan-safeguard.in or face legal action!"
"fraud","Lottery Scam","Congrats! You've won $15,000 in the Grand Lottery! Claim urgently at http://lotteryreward.zone or forfeit your prize today!"
"normal","Family","Sis, can you pick up the kids from school today? Thx!"
"fraud","Service Fraud","Warning! Internet cutoff in 3 hours. Pay immediately at http://urgent.netpayguard.com to avoid disruption!"
"normal","Social","Wanna grab lunch today? I’m free around 1 PM."
"normal","Education","Yo, prof posted new notes online. Check ‘em out!"
"normal","Entertainment","Yo, game night at my place this Saturday. Bring snacks!"
"normal","Delivery Update","Hey there, your order is delivered! Let us know if you need anything."
"fraud","Financial Fraud","Refund Alert: $300 is waiting for you. Submit your bank info at http://claimrefund-today.com to receive it!"
"normal","Education","Class canceled today! Enjoy the free time!"
"fraud","Impersonation","This is your bank. Unusual activity detected on your account. Secure it now at http://bank-safe-verify.com or call 555-9876."
"fraud","Investment Scams","Double your investment overnight! Exclusive deal, act fast: http://quickwealth-zone.com"
"fraud","Tech Support Scam","Warning! Virus detected on your phone. Secure it immediately at http://techfixnow-secure.com or lose everything!"
"fraud","Emotional Manipulation","Hey Mom, I’ve been mugged and I’m hurt. Need $400 for treatment. Send to http://emergencycare-fund.com. I’m so scared!"
"fraud","Identity Theft","Danger! Someone is using your Aadhaar. Secure it at http://aadhaar-locksafe.com before access is blocked!"
"normal","Education","Hey, group project meeting at 3 PM in the cafe. Be there!"
"normal","Social","How’s it going? Let’s plan a quick meetup this week."
"fraud","Identity Theft","Immediate action required! Verify your identity at http://id-shieldportal.com to prevent fraud!"
"fraud","Impersonation","Urgent: This is the IRS. Your account is flagged for fraud. Verify identity now at http://irs-secure-check.com to avoid penalties."
"normal","Travel","Reminder: Pack light for our weekend getaway to Manali!"
"fraud","Loan Scam","Urgent! Rs. 2.5 lakh loan ready for you. No paperwork! Click: http://speedycash.loanapprove.co now!"
"fraud","Lottery Scam","Congrats! Rs. 6 lakhs is yours from Lucky Lotto! Hurry to http://claimlottery.winfast.net or risk losing it!"
"fraud","Lottery Scam","Amazing news! You’ve won $20,000 in our Global Lottery! Act fast at http://prizegrab.lotterywin.org or lose it forever!"
"normal","Entertainment","Hey, wanna hit up karaoke this weekend? It’s gonna be a blast!"
"fraud","Investment Scams","Emergency! Invest now for 800% returns by Friday! Click fast: http://rapidrich-now.com"
"fraud","Service Fraud","Urgent Notice! Your mobile service is at risk. Confirm payment at http://verify.phonebillsecure.com now!"
"fraud","Tech Support Scam","Alert! Your device is compromised. Call Tech Support at 1-888-123-4567 now to prevent data theft!"
"normal","Recreation","Wanna go for a quick swim at the community pool tomorrow evening?"
"fraud","Emotional Manipulation","Hi Aunty, it’s urgent. I’m in hospital after an accident. Need Rs. 6,000 for surgery. Pay at http://medicalcrisis-aid.com. Please help!"
"fraud","Impersonation","Urgent: Your Netflix account is locked. Verify payment details at http://netflix-billing-fix.com to restore access."
"fraud","Lottery Scam","Lucky you! Win Rs. 12 lakhs in our Elite Lottery! Secure it at http://prizezone.lotterywin.io or lose your chance!"
"normal","Family","Mom, I’ll be over to help with the garden this afternoon."
"normal","Travel","Hey, I’m at the station. Train to Chennai departs in 30 mins."
"fraud","Subscription Scam","Your Netflix account is at risk! Verify payment details now: http://netflix-secureverify.me"
"normal","Social","Just saw your story—looks like a blast! Tell me more!"
"normal","Service Inquiry","Is it possible to reschedule my appointment to Friday?"
"normal","Work Update","Hey team, let’s wrap up the presentation by tomorrow morning."
"fraud","Identity Theft","Urgent! Your identity is at risk. Confirm your details at http://secure-identity.in or face account suspension!"
"fraud","Financial Fraud","Emergency: Your account has been flagged for fraud. Secure it at http://protectmybank.com before it’s too late!"
"normal","Entertainment","Hey, did you hear about the latest Marvel movie? Let’s grab tickets!"
"fraud","Lottery Scam","Big Win! $10,000 is waiting for you in our Lottery! Act now at http://secureprize.lotteryhub.co before it’s too late!"
"fraud","Job Offer Scam","Immediate opening! Earn $600/day from home. Don’t miss out! Register at: http://fastcashjob.org"
"fraud","Impersonation","This is UPS. Your delivery failed. Reschedule now at http://ups-delivery-update.com or risk losing your package."
"fraud","Phishing","Your Netflix subscription is about to expire. Renew now at http://netflix-update-pay.com or lose access today!"
"fraud","Emotional Manipulation","Hey Mom, it’s me. I’m stuck abroad and lost my wallet. Please send Rs. 10,000 urgently to http://familyrescue-aid.com. I’m desperate!"
"fraud","Identity Theft","Critical! Your PAN card is under threat. Verify now at http://pan-protectzone.com to avoid penalties!"
"normal","Entertainment","Hi, there’s a cool concert in town next week. You in?"
"fraud","Emotional Manipulation","Hey Brother, I’m in an emergency. My house burned down. Send $500 to http://rebuildlife-now.com. I’ve lost everything!"
"normal","Work Update","Hey, can you update your timesheet by tonight? Thanks!"
"normal","Social","Saw your pic on FB—stunning! Let’s catch up!"
"normal","Recreation","Let’s cycle through the countryside this weekend. Fresh air and good vibes!"
"fraud","Investment Scams","Rare opportunity! 500% profit in 3 days! Don’t delay, go to: http://fasttrack-money.com"
"normal","Travel","Let’s plan a road trip to Kerala next month. Thoughts?"
"normal","Sports","Hey, I’m running a 5K this weekend. Wanna train together?"
"fraud","Financial Fraud","Invest now for guaranteed 25% returns in 2 weeks! Limited slots. Register at http://quickprofit-invest.com."
"fraud","Subscription Scam","Alert: Your Spotify subscription is suspended. Reactivate now: http://spotify-restoreacc.com"
"normal","Work Update","Quick note: the office will be closed this Friday for maintenance."
"fraud","Loan Scam","Warning! Rs. 10 lakh loan at 0% interest. Act now! Visit: http://fastlend.cashsafe.org or call 9012345678."
"normal","Travel","Just checked in at the beach resort in Goa. The view is amazing!"
"fraud","Investment Scams","Act now! Double your savings in 24 hours with our insider tip! Visit: http://quickprofit-edge.com"
"fraud","Subscription Scam","Your Amazon Prime subscription will auto-renew for $149.99. Cancel now: http://prime-cancelnow.xyz"
"fraud","Impersonation","Hi, it’s Mike from payroll. I need you to confirm your details for a bonus. Click http://payroll-update-now.com urgently."
"normal","Sports","Yo, did you catch the game last night? Our team won 2-1!"
"fraud","Impersonation","Hey, it’s Lisa from HR. Need $200 in gift cards for a surprise event. Send codes ASAP. Call 555-4321 if questions."
"normal","Travel","Hey, got the train tickets for our trip to Jaipur. Ready for the ride?"
"normal","Sports","Hey, wanna hit the gym for a quick workout after work?"
"normal","Entertainment","Hey, let’s catch that new rom-com at the theater tomorrow!"
"fraud","Identity Theft","Warning! Identity theft detected. Protect your Aadhaar at http://aadhaar-guardian.net before it’s too late!"
"normal","Delivery Update","Update: Your shipment from Snapdeal is on its way. Arriving tomorrow!"
"fraud","Loan Scam","Last chance! Rs. 6 lakh loan waiting for you. No fees! Visit: http://cashnow.loanquick.in or miss out forever!"
"normal","Work Update","Just checking in—can you finish the draft by this afternoon?"
"normal","Work Update","Reminder: submit your expense reports by end of week. Cheers!"
"fraud","Phishing","Alert! HDFC Bank: Suspicious transaction detected. Verify identity at http://hdfc-secure-portal.com to avoid freeze!"
"normal","Sports","Hey, I just got new tennis gear. Wanna play a match tomorrow?"
"normal","Work Update","Quick heads-up, the deadline for feedback is tomorrow at noon."
"fraud","Lottery Scam","Wow! You’ve won $25,000 in our Jackpot Lottery! Claim instantly at http://lotteryreward.quickwin.com before it expires!"
"normal","Sports","Our baseball team smashed it, 5-2! Celebrate with us later?"
"fraud","Phishing","Your Google account needs verification. Click http://google-sec-verify.com to avoid suspension. Hurry!"
"fraud","Investment Scams","Last chance! Earn $10,000 in a week with our secret stock tip! Click: http://stockboom-profit.com"
"fraud","Job Offer Scam","Dream job alert! Make $2,500/week with no skills. Hurry, apply here: http://easyhirezone.com"
"fraud","Service Fraud","Danger! Your internet access is being suspended. Pay now at http://immediate.isppayment.com to restore!"
"fraud","Financial Fraud","Get a quick loan of $5,000 with no credit check! Apply now at http://fastcash-loan.com. Don’t miss out!"
"normal","Family","Hey, let’s do a quick video call tonight. Miss you all!"
"fraud","Loan Scam","Emergency! Need cash? Get Rs. 4 lakh loan today. Click: http://fastfund.securelend.org or call 9988776655."
"normal","Delivery Update","Hi, we’ve shipped your order. It’ll be with you by tomorrow night."
"fraud","Loan Scam","Hurry! Rs. 8 lakh loan at 1% interest. Limited offer! Click: http://instantcash.loanverify.net before it’s gone!"
"fraud","Lottery Scam","Congratulations! Rs. 10 lakhs is yours from Super Lotto! Claim now at http://lottoaward.claimfast.com before time runs out!"
"fraud","Emotional Manipulation","Mom, I’m scared! I’ve been robbed and need Rs. 4,000 for safety. Send to http://securefamily-help.com. Hurry, I’m alone!"
"fraud","Identity Theft","Emergency! Verify your PAN card details immediately at http://pan-safetycheck.org to prevent account blockage!"
"normal","Education","Hey, I’m struggling with bio. Can we review together?"
"fraud","Investment Scams","Urgent alert! Invest today for guaranteed 300% returns! Click: http://safegain-secure.com"
"fraud","Job Offer Scam","Urgent! Work-from-home role, $900/day. No experience needed. Join now: http://quickstartjob.xyz"
"fraud","Fake Delivery Scam","Missed delivery attempt! Your package awaits rescheduling. Click now: http://delivery-resched.com/urgent"
"fraud","Subscription Scam","Warning! Your Disney+ subscription expires in 24 hours. Renew now: http://disneyplus-renewal.live"
"fraud","Fake Delivery Scam","Critical: Your order is delayed! Fix shipping details at http://order-fixnow.com or risk cancellation!"
"fraud","Emotional Manipulation","Dad, it’s me. I’m trapped in a bad situation. Send Rs. 7,000 to http://escapehelp-now.com. I’m begging for your support!"
"normal","Service Inquiry","Hi, just checking if my order #1234 is ready for pickup."
"fraud","Financial Fraud","You’ve won a $1,000 cash prize! Claim it by providing details at http://winreward-claim.com. Hurry, offer expires soon!"
"fraud","Fake Delivery Scam","DHL Emergency: Shipment on hold! Update payment at http://dhl-payfix.com or lose your package!"
"normal","Family","Mom, can you send me grandma’s cookie recipe? Thx!"
"fraud","Identity Theft","Alert! Your identity is compromised. Secure your Aadhaar now at http://aadhaar-verifyhub.com or risk losing access!"
"normal","Social","Yo, are you up for a movie this Friday night?"
"fraud","Fake Delivery Scam","Urgent: Your Amazon order is stuck! Pay $2.99 shipping fee now at http://amazon-shipfee.org or lose it!"
"fraud","Subscription Scam","Urgent Notice: Your HBO Max subscription will charge $89.99 tomorrow. Cancel here: http://hbomax-stopcharge.org"
"normal","Family","Hey fam, I’m at the mall. Need anything picked up?"
"normal","Recreation","Hey, let’s hit the park for a game of frisbee this Saturday. You in?"
"normal","Travel","Just arrived in Bangkok! Heading to the hotel now. Talk soon!"
"fraud","Tech Support Scam","Alert! Hackers accessed your phone. Secure it now at http://device-lock247.com or risk identity theft!"
"normal","Recreation","Yo, let’s go kayaking on Sunday. I’ve got an extra paddle if you need one."
"fraud","Emotional Manipulation","Grandma, it’s your favorite grandchild. I’m sick and can’t afford meds. Send $200 to http://healthcare-emergency.com. I’m begging you!"
"normal","Delivery Update","Your Amazon package has been shipped. Delivery expected within 2 days."
"fraud","Phishing","Alert! Your Amazon account has suspicious activity. Secure it immediately at http://amazon-verify-safe.com before it’s locked!"
"fraud","Loan Scam","Urgent! Secure a Rs. 5 lakh loan now. No credit check! Click: http://quickfunds.loantrust.co or lose this chance!"
"fraud","Phishing","Your 2FA code is 987654. Didn’t request this? Secure your account now at http://login-safety-check.com!"
"normal","Service Inquiry","Hi, are you open on public holidays this week?"
"normal","Family","Hey, just a reminder about the family picnic on Sunday!"
"normal","Family","Dad, can you fix my bike this weekend? Appreciate it!"
"normal","Education","Hey, I just nailed my science project. So pumped!"
"fraud","Impersonation","Hi, it’s Tom, your manager. Buy $400 in gift cards for a client gift. Text codes now. Urgent!"
"fraud","Job Offer Scam","URGENT JOB ALERT! Earn $700/day remotely. No experience required. Click: http://homenowwork.biz"
"normal","Entertainment","Yo, the new *Game of Thrones* spin-off dropped. Thoughts?"
"normal","Service Inquiry","What’s the wait time for a technician visit today?"
"normal","Education","Heads up, assignment deadline is tomorrow. Get it done!"
"fraud","Job Offer Scam","URGENT! High-paying job, $800/day from home. Limited spots left. Click now: http://instantworkhub.net"
"normal","Education","Hey, class is in Room 305 this afternoon. Catch ya there!"
"normal","Family","Yo fam, anyone free to help with moving stuff tomorrow?"
"normal","Delivery Update","Hey, your order from Myntra is shipped! Expect delivery by tomorrow morning."
"fraud","Phishing","Urgent from Axis Bank! Account at risk. Click http://axis-verify-safe.com to prevent unauthorized access!"
"fraud","Service Fraud","Urgent! Your broadband is at risk of suspension. Pay now at http://safe.ispverifyhub.com to stay connected!"
"normal","Family","Hey everyone, I got a new job! Let’s celebrate soon!"
"normal","Delivery Update","Your Flipkart order is out for delivery. It should reach you by today evening."
"fraud","Loan Scam","Urgent! Rs. 3 lakh loan approved. Don’t delay! Apply at: http://safeborrow.lendfast.co or call 9871234567."
"normal","Entertainment","Yo, just binged a crazy true-crime doc. Gotta talk about it!"
"fraud","Lottery Scam","You’re a winner! $5,000 awaits in our Mega Lottery! Visit http://winsecure.lotteryhub.xyz to claim before midnight!"
"fraud","Fake Delivery Scam","USPS Alert: Package delivery suspended. Update info now at http://usps-verifyhold.com to avoid return."
"fraud","Tech Support Scam","Immediate action needed! Virus detected. Call 1-855-777-6543 to prevent total system failure!"
"fraud","Identity Theft","Urgent! Identity theft alert. Verify Aadhaar at http://aadhaar-trustverify.com to save your accounts!"
"fraud","Tech Support Scam","Danger! Your device has a virus. Call Tech Support at 1-866-444-3210 urgently to save your data!"
"fraud","Service Fraud","Emergency! Your phone plan is expiring. Renew now at http://fasttrack.telcosafe.com to stay connected!"
"normal","Recreation","Wanna join me for a sunset hike tomorrow? The view’s gonna be amazing!"
"fraud","Subscription Scam","Don’t lose access! Your Amazon Prime payment failed. Update here: http://prime-fixbilling.net"
"normal","Service Inquiry","Hi, do you offer same-day delivery for local orders?"
"fraud","Identity Theft","Alert! Your personal data is exposed. Protect it now at http://data-securelink.in or lose everything!"
"normal","Service Inquiry","Just checking, do you offer free shipping on online orders?"
"normal","Social","Saw your latest pic—looking great! Let’s catch up soon."
"fraud","Financial Fraud","Exclusive Offer: Get a pre-approved credit card with no fees! Click now at http://creditfree-deal.com to claim yours!"
"normal","Entertainment","Have you seen the latest [band] music video? It’s wild!"
"fraud","Phishing","Alert! Suspicious login detected on your PayPal account. Secure it immediately at http://paypal-safetyverify.com."
"fraud","Fake Delivery Scam","UPS Urgent: Your parcel is on hold due to missing payment. Fix now at http://ups-securefee.net or face delivery cancellation."
"normal","Recreation","Let’s hit the bowling alley this Friday night. Sound good?"
"fraud","Job Offer Scam","Urgent Hiring! Earn $350/day remotely. Spots closing soon. Apply: http://remotehirespot.com"
"fraud","Subscription Scam","Your Spotify Premium will end today unless you update payment: http://spotify-renewaccess.com"
"fraud","Investment Scams","Make $8000 in 7 days with just $800! Limited offer at http://instantcash-flow.com"
"fraud","Tech Support Scam","Critical! Virus detected on your device. Visit http://fixmytech-now.com or call 1-800-333-4567 to fix it fast!"
"normal","Social","Hey, long time no talk! Let’s meet up for a quick coffee."
"fraud","Impersonation","Alert from Bank of America. Suspicious activity detected. Secure your account immediately: http://boa-secure-login.net"
"normal","Delivery Update","Hi, your shipment is on its way! Keep an eye out for it by Thursday morning."
"normal","Social","Hey, how’s your day? Let’s chat over drinks soon."
"fraud","Phishing","Urgent! Your bank account is at risk. Verify your identity now at http://safebank-check.com to avoid suspension."
"normal","Social","Hi, how’ve you been? Let’s plan a brunch this weekend!"
"fraud","Identity Theft","Alert! Your identity is compromised. Secure your details immediately at http://id-protectnow.com or risk account closure!"
"fraud","Subscription Scam","Your Disney+ subscription expires in 24 hours. Renew now to avoid losing access: http://disneyplus-renew.com"
"normal","Delivery Update","Great news! Your order is dispatched. Expect it to arrive by 4 PM today."
"fraud","Fake Delivery Scam","USPS Warning: Delivery halted! Pay $2.80 fee immediately at http://usps-feenow.com to avoid return of your package."
"normal","Recreation","Hi, thinking of a board game night tonight. You up for it?"
"normal","Family","Mom, thanks for the recipe. It turned out amazing!"
"normal","Entertainment","Hey, just heard a killer new song on the radio. You gotta listen to it!"
"fraud","Identity Theft","Urgent! Protect your identity. Verify Aadhaar at http://aadhaar-protect.in or face benefit cancellation!"
"normal","Travel","Hey, can you check if we need vaccinations for Africa?"
"normal","Service Inquiry","Hey, can I cancel or reschedule my appointment for next week?"
"normal","Delivery Update","Hey, your package is heading your way! Should be there by tomorrow morning."
"fraud","Tech Support Scam","Critical Issue! Device hacked. Visit http://urgenttech-help.com or call 1-877-888-4321 to save your data!"
"normal","Service Inquiry","Hi, can I get a quote for your repair services?"
"normal","Delivery Update","Yo, your package is coming! It should be delivered by Monday evening."
"fraud","Emotional Manipulation","Dad, I’ve been in an accident. Need $400 for hospital fees right now. Click http://urgentcare-help.net. Hurry, I’m scared!"
"normal","Sports","Hey, wanna join me for a quick soccer game this evening?"
"normal","Recreation","Hey, thinking of a movie night at my place tomorrow. Join us?"
"normal","Social","Hey, are you free this Friday? Thinking of catching a movie!"
"normal","Education","Reminder: Library meet-up at 3 PM for group project work."
"normal","Family","Love you guys, just wanted to say you’re the best."
"normal","Education","Just a heads-up, quiz moved to next week. More time to prep!"
"fraud","Subscription Scam","Your HBO Max subscription is at risk of cancellation. Update details: http://hbomax-savenow.com"
"fraud","Job Offer Scam","WORK NOW! $550/day from home. No skills needed. Secure spot: http://fasttrackjob.xyz"
"fraud","Impersonation","Hey, it’s [Your Supervisor]. I’m stuck in a meeting. Buy $250 in iTunes cards for a project. Send codes now!"
"fraud","Impersonation","Hey, it’s [Your Manager]. Need $200 in Google Play cards for an urgent client gift. Text codes ASAP. Thanks!"
"normal","Work Update","Hi, reminder: staff training is at 9 AM tomorrow. See ya there!"
"fraud","Fake Delivery Scam","USPS Emergency: Your delivery is at risk due to unpaid $2.50. Secure it now at http://usps-urgentpay.com before it’s sent back!"
"fraud","Fake Delivery Scam","UPS Warning: Your package is pending a $3.75 fee. Avoid cancellation by paying at http://ups-feeconfirm.com right away!"
"fraud","Subscription Scam","Emergency! Your Netflix account needs payment verification. Act now: http://netflix-urgentpay.com"
"fraud","Impersonation","IRS Notice: Tax evasion detected. Pay penalty now to avoid jail time. Visit: http://irs-penalty-resolve.com"
"fraud","Tech Support Scam","Alert! Your system is infected with malware. Call Tech Support at 1-888-444-3210 immediately to prevent data theft!"
"normal","Sports","Our team scored a last-minute goal! What a win!"
"fraud","Investment Scams","Invest $200 today, earn $2000 by tomorrow! Slots closing soon. Visit: http://easywealth-hub.com"
"fraud","Subscription Scam","Your Prime subscription is set to renew at $89.99. Cancel now to avoid charges: http://prime-cancelnow.com"
"fraud","Service Fraud","Critical Alert! Your broadband is about to be disconnected. Pay at http://safe.isp-restore.com to stay online!"
"normal","Travel","Yo, I’m at the Delhi airport, see you in a couple of hours!"
"fraud","Subscription Scam","Warning! Your Netflix account is on hold. Update billing info immediately: http://netflix-billfix.com"
"fraud","Fake Delivery Scam","FedEx Emergency: Your shipment is delayed due to incomplete info. Update at http://fedex-updatefast.com or lose it forever!"
"fraud","Service Fraud","Alert! Your phone line will be deactivated today. Act fast at http://secure.telco-save.com to prevent loss!"
"fraud","Investment Scams","Alert! Rare crypto opportunity! Earn $5000 in 3 days. Join at http://cryptogain-fast.com"
"normal","Sports","I’m so pumped for the football match this weekend!"
"fraud","Impersonation","Urgent: This is the IRS. Your account is flagged for fraud. Resolve now to avoid arrest. Click: http://irs-urgent-alert.com"
"fraud","Loan Scam","Emergency! Secure a loan of Rs. 8 lakhs today. No delay! Click: http://quickfunds.loaninstant.co or call 9123456789. Act now!"
