"Type","Category","Message"
"normal","Delivery Update","Update: Your order is coming! Should be at your doorstep by 5 PM."
"fraud","Lottery Scam","Alert! You’ve won Rs. 8 lakhs in the National Lottery! Claim at http://lotterywin.secureprize.in or risk losing it today!"
"normal","Family","Sis, let’s plan a Rakhi surprise for Bhai. Ideas?"
"fraud","Lottery Scam","Winner! Rs. 4 lakh lottery prize is yours! Click http://claimwin.lottozone.in now to avoid losing this golden chance!"
"normal","Service Inquiry","Hey, what’s the estimated time for a car service at your garage?"
"fraud","Identity Theft","Warning! Your personal info is compromised. Act now at http://safeid-guard.in or lose access to services!"
"normal","Delivery Update","Yo, your parcel is heading to Delhi. Should arrive by tomorrow eve."
"normal","Service Inquiry","Hi, do you provide home delivery in Mumbai? Pls confirm."
"fraud","Financial Fraud","WARNING: Suspicious activity on your ICICI card. Secure it at http://icici-cardverify.com before it’s blocked!"
"normal","Travel","Reminder: Our train to Jaipur leaves at 6 PM. Don’t be late!"
"fraud","Fake Delivery Scam","IndiaPost Alert: Your parcel is stuck due to a ₹99 fee. Pay now at http://indiapost-paynow.com to avoid return!"
"fraud","Subscription Scam","Emergency! Your Zee5 subscription is suspended. Reactivate at http://zee5-restore.in before it’s too late!"
"normal","Recreation","Hey, let’s catch the sunrise at Marine Drive this Sunday. You in?"
"fraud","Tech Support Scam","Alert! Your data is at risk. Call 1-800-123-4567 now for Tech Support before it’s too late!"
"fraud","Identity Theft","Critical! Aadhaar data breach detected. Confirm identity at http://aadhaar-safenet.in to prevent fraud!"
"fraud","Subscription Scam","Warning! Your Spotify Premium will be cancelled tonight. Fix payment at http://spotify-indiaupdate.com now!"
"normal","Entertainment","Did u hear? Arijit Singh is performing in Mumbai next month. Should we get tix?"
"fraud","Fake Delivery Scam","BlueDart Warning: Delivery delayed! Update address urgently at http://bluedart-fixinfo.com or lose your package!"
"normal","Family","Mom, got your fave saree cleaned. Bringing it tomorrow."
"fraud","Tech Support Scam","Urgent! Suspicious activity on your device. Click http://indiasafe-tech.com to secure it fast!"
"fraud","Investment Scams","Hurry! Double your Diwali savings in 24 hrs! Click now: http://festivewealth-ind.com Don’t wait!"
"normal","Social","Hey, wanna join for a quick chai at the tapri tonight?"
"fraud","Tech Support Scam","Alert! Your device is infected with a virus. Call 1-800-456-7891 now to secure it before data loss!"
"normal","Work Update","Can you send the presentation slides by evening? Client is waiting."
"fraud","Emotional Manipulation","Sis, I’m stranded in Mumbai after a theft. Lost everything. Send Rs. 5,000 via http://helpme-survive.in. I’m all alone!"
"normal","Sports","Wanna join for a volleyball game at the beach this Sunday?"
"fraud","Service Fraud","Danger! Your mobile data will be stopped in 2 hours. Pay at http://data.safepay-ind.com to continue using!"
"normal","Family","Dad, can you help with my bike repair? I’ll drop by tomorrow."
"normal","Entertainment","Hey, let’s hit up a Dandiya event this weekend. Bring ur fam, it’ll be a blast!"
"fraud","Lottery Scam","Congratulations! Rs. 6 lakh lottery win confirmed! Hurry, claim at http://getlottery.bonusclaim.in before deadline tonight!"
"fraud","Service Fraud","Critical! Your Jio plan is overdue. Prevent deactivation by paying at http://jio.urgentpaylink.in now!"
"normal","Education","Hey, join the webinar on career options today at 3 PM. Link is on WhatsApp group."
"fraud","Loan Scam","Financial crisis? Rs. 4.5 lakhs loan ready. Apply now: http://easycash.loanindia.biz or call 9223344556."
"fraud","Investment Scams","Last chance! Triple your savings overnight! Secure spot at: http://fastmoney-mumbai.com Now!"
"fraud","Subscription Scam","Urgent! Your Netflix subscription is expiring today. Update payment now at http://netflix-renewal.in to avoid losing access!"
"normal","Service Inquiry","Hey, can you tell me if my order is ready for pickup today?"
"fraud","Emotional Manipulation","Didi, I lost my job and house in Kolkata. Need Rs. 8,000 to survive. Send to http://crisis-support-india.com. I’m broken!"
"normal","Work Update","Yo, let’s discuss the project over chai at 4 pm in the office."
"fraud","Fake Delivery Scam","Ecom Express Alert: Your order is stuck. Update info at http://ecomexpress-update.com or face cancellation!"
"normal","Education","Hey, tomorrow’s lecture is online due to heavy rains in Mumbai. Check your email for the Zoom link!"
"fraud","Subscription Scam","Your SonyLIV account is about to expire. Don’t miss out, update at http://sonyliv-indiafix.net urgently!"
"fraud","Fake Delivery Scam","FedEx India: Unpaid ₹150 fee blocking your parcel. Settle now at http://fedex-indiapay.com to release it!"
"normal","Social","Hey, missed you at the Ganpati celebrations. Meet up this week?"
"fraud","Service Fraud","Warning! Your Airtel connection expires in 6 hours. Renew at http://secure.airtelrenewal.co to stay connected!"
"fraud","Phishing","Alert! HDFC Bank detected suspicious activity. Secure your account at http://hdfc-safeguard.co.in before it’s too late!"
"normal","Travel","Just checked into our hotel in Udaipur. The lake view is amazing!"
"fraud","Lottery Scam","Lucky Winner! Rs. 10 lakhs lottery prize awaits! Secure it at http://lotteryjackpot.getnow.co.in before it’s transferred!"
"fraud","Impersonation","HDFC Bank Alert: Your net banking is locked. Reactivate now at: http://hdfc-loginsecure.in"
"normal","Delivery Update","Yo, your delivery is scheduled for tomorrow. Keep your phone handy!"
"fraud","Financial Fraud","ALERT! Rs. 5,000 debited from your HDFC account. Verify if it’s not you at http://hdfc-securecheck.com now!"
"fraud","Impersonation","Urgent! This is SBI. Your account is at risk. Verify now to avoid suspension: http://sbi-safeaccess.in"
"normal","Recreation","Yo, planning a cricket match at the local ground tomorrow. Join us!"
"fraud","Emotional Manipulation","Bhai, my child is sick in hospital. Need Rs. 7,000 for surgery. Please save us at http://childcare-emergency.com. I’m helpless!"
"fraud","Tech Support Scam","Warning! Trojan virus on your device. Visit http://fixit-indianow.com to clean it urgently!"
"fraud","Service Fraud","Urgent! Your internet access is blocked. Restore it at http://fix.netconnect-india.org before it’s too late!"
"fraud","Job Offer Scam","JOB OPPORTUNITY! Earn ₹800/day remotely. Act fast! Click now: http://quickhiretoday.co"
"normal","Recreation","Let’s hit the Sanjay Gandhi National Park for a trek. Saturday ok?"
"fraud","Subscription Scam","Your Hotstar subscription is at risk. Update details immediately at http://hotstar-verifyindia.com or lose access!"
"fraud","Impersonation","Hi, it’s Meena, your team lead. Need Rs. 2500 in Google Play cards for a project. Send codes immediately!"
"fraud","Investment Scams","Alert! Invest ₹500 & earn ₹5000 in 7 days! Limited slots, click now: http://quickgain-india.com Hurry!"
"normal","Sports","Yo, gym sesh at FitZone at 6. Let’s lift some weights!"
"fraud","Loan Scam","Alert! Rs. 3.2 lakhs loan pre-approved for you. Don’t wait! Apply: http://cashnow.loanfast.in or dial 9445566778."
"normal","Work Update","Check WhatsApp for the new work roster. Let me know if any issues."
"fraud","Job Offer Scam","ACT NOW! Work-from-home, ₹600/day. Miss this & regret! Visit: http://easyjobfind.co.in"
"fraud","Loan Scam","Hurry! Rs. 1.5 lakhs loan offer ending soon. No documents! Click: http://fastfunds.secureloan.net or call 9334455667."
"normal","Work Update","Hey, team meeting at 11 am tomorrow. Don’t be late, yaar!"
"normal","Education","Great news! Our college fest is back on 15th Aug. Get ready for some fun!"
"normal","Social","Bro, your cricket match pics are dope! Let’s play a game soon."
"fraud","Financial Fraud","DANGER: Your Kotak account is under threat. Protect it at http://kotak-shieldnow.com before it’s too late!"
"normal","Family","Dad, how’s your health? I’ll come check on you soon."
"fraud","Loan Scam","Urgent! Rs. 3 lakhs loan waiting for you. No paperwork! Apply now: http://instantcash.loanpro.in or call 9123456789."
"fraud","Job Offer Scam","URGENT! Earn ₹500/day from home. Don’t delay, apply now at: http://instantworkindia.in"
"normal","Education","Hey, the Maths test is tomorrow. Revise those formulas tonight, okay?"
"normal","Work Update","Reminder: Submit your timesheet by EOD. Thanks, dost!"
"normal","Sports","Hey, badminton at the club at 7 PM. Racket ready?"
"normal","Work Update","Please update the CRM with today’s client calls. Important hai!"
"fraud","Service Fraud","Attention! Your BSNL line is under suspension. Pay at http://bsnl.quickresolve.net to avoid disconnection!"
"fraud","Investment Scams","Rare chance! Turn ₹1000 into ₹10,000 this week with our BSE tips. Join: http://stockrich-now.com"
"normal","Entertainment","Yo, IPL match tonight! CSK vs MI. Let’s grab some chai and watch at my place."
"fraud","Job Offer Scam","EXCITING OFFER! ₹50,000/month remote work. Limited slots! Click: http://bestjobportal.org"
"normal","Work Update","Meeting with the Mumbai team at 1 pm on Zoom. Be ready!"
"fraud","Service Fraud","Alert! Your mobile service will be disconnected today. Pay now at http://urgent.mobilepay-india.com to avoid cutoff!"
"fraud","Lottery Scam","Congrats! Rs. 2 lakh lottery prize awaits! Don’t delay, claim at http://winlottery.cashnow.in before it’s reassigned!"
"normal","Delivery Update","Great news! Your package will arrive today. Stay tuned for updates."
"fraud","Loan Scam","Don’t delay! Rs. 2 lakhs loan approved for emergencies. Click: http://urgentcash.loansecure.co.in or call 9776655443."
"fraud","Phishing","Warning! Your Kotak Bank account is at risk. Verify identity at http://kotak-safenet.in to prevent blockage!"
"fraud","Identity Theft","Danger! Your bank account is linked to fraud. Verify identity at http://securebank-id.in to avoid closure!"
"fraud","Tech Support Scam","Critical! System breach detected. Click http://safeindia-techguard.com to resolve now!"
"normal","Work Update","Hi, tomorrow’s off for Diwali prep. Enjoy the break!"
"normal","Entertainment","Dude, the trailer for Pathaan 2 dropped. SRK looks killer! Cinema this week?"
"normal","Travel","Landed in Mumbai! Heading to grab some vada pav. Talk soon!"
"normal","Sports","Did you catch the IPL match last night? CSK nailed it!"
"fraud","Subscription Scam","Alert! Your Amazon Prime membership payment failed. Secure it at http://prime-indiafix.com before suspension!"
"normal","Recreation","Hey, let’s check out the new escape room in Bandra. Sounds exciting!"
"fraud","Emotional Manipulation","Aunty, my family is starving after floods in Assam. Send Rs. 3,000 via http://floodrelief-now.in. We’ve lost everything!"
"fraud","Fake Delivery Scam","DTDC Notice: Your shipment is on hold. Confirm details at http://dtdc-urgentverify.com within 12 hours!"
"fraud","Financial Fraud","URGENT: Your Canara Bank KYC is incomplete. Update at http://canara-kycverify.com to avoid account freeze!"
"normal","Service Inquiry","Hi, do you offer online consultations for medical advice?"
"normal","Recreation","Wanna go for a jog at Shivaji Park tomorrow morning? Let’s do it!"
"fraud","Identity Theft","Emergency! Your voter ID is under threat. Secure it at http://voteid-protect.in or risk deactivation!"
"fraud","Job Offer Scam","LAST CHANCE! ₹35,000/month remote job. No experience needed. Visit: http://safejoboffer.net"
"normal","Entertainment","Hey, let’s binge Mirzapur S3 this weekend. Heard it’s even crazier. U in?"
"fraud","Fake Delivery Scam","IndiaPost Warning: Your parcel is at risk of return. Pay ₹120 fee at http://indiapost-feeupdate.com now!"
"fraud","Identity Theft","Alert! Verify your PAN card details immediately at http://pan-secureverify.co.in to avoid penalties!"
"normal","Social","Yo, your Holi video was epic! When are we chilling next?"
"fraud","Financial Fraud","ALERT: Refund of Rs. 3,500 awaiting. Claim it at http://bankrefund-india.com before expiry in 24 hours!"
"normal","Education","Yo, don’t forget the parent-teacher meet this Saturday at 11 AM in school. Be there!"
"normal","Recreation","Planning a bike ride to Matheran. You coming along this weekend?"
"fraud","Phishing","ICICI Bank Warning: Your account needs verification. Click http://icici-verifyportal.in or face suspension today!"
"normal","Social","Saw your Diwali pics on Insta, looking fab! Let’s meet soon."
"fraud","Job Offer Scam","URGENT HIRING! Work-from-home, ₹500/day. Don’t miss out! Click: http://dreamworkonline.in"
"fraud","Loan Scam","Need money now? Rs. 5 lakhs loan, no credit check! Click: http://fastloan.securemoney.in or call 9001234567."
"normal","Service Inquiry","Hi, can you share the price list for your salon services?"
"normal","Family","Hey guys, let’s do a video call tonight. Miss seeing you all!"
"fraud","Investment Scams","Don’t miss! ₹200 investment = ₹2000 profit by tomorrow! Click: http://cashsurge-india.online"
"fraud","Identity Theft","Warning! Your PAN details are at risk. Confirm now at http://pan-safetycheck.in to avoid fines!"
"fraud","Phishing","Fraud Alert! Your PhonePe account shows odd activity. Protect it at http://phonepe-securehub.in immediately!"
"fraud","Emotional Manipulation","Ma, I’m trapped in Hyderabad, no money for food. Send Rs. 2,000 to http://hunger-aid.in. I’m desperate for help!"
"fraud","Identity Theft","Urgent! Your identity is at risk. Secure your Aadhaar now at http://protect-idindia.in or face account suspension!"
"normal","Service Inquiry","Hey, what are your working hours on Sundays in Delhi?"
"normal","Family","Mom, I’m running late from office. Save some dal for me!"
"fraud","Phishing","Attention! Your Axis Bank account shows unusual login. Verify at http://axis-protectnet.in to avoid fraud!"
"normal","Social","Saw your post from Goa—jealous! Tell me all about it soon."
"normal","Family","Hey fam, Diwali shopping this Saturday. Who’s in?"
"normal","Recreation","Hey, up for a Bollywood movie marathon at my place tonight?"
"normal","Service Inquiry","Hey, is there a waiting list for appointments this week?"
"normal","Delivery Update","Hey buddy, your parcel is out for delivery. Expect it by noon today."
"fraud","Tech Support Scam","Help! Hacker threat detected. Call 1-844-555-6677 to save your personal info immediately!"
"fraud","Subscription Scam","Alert! Payment issue with your JioCinema subscription. Resolve now at http://jiocinema-secure.in to continue streaming!"
"fraud","Financial Fraud","WARNING: Fraud detected on your IDBI account. Secure it at http://idbi-protectnow.com or face deactivation!"
"fraud","Identity Theft","Alert! Suspicious activity on your Aadhaar. Verify now at http://aadhaar-checksafe.in to stay protected!"
"fraud","Fake Delivery Scam","XpressBees Alert: Shipment pending due to missing info. Update at http://xpressbees-verify.com within 24 hrs!"
"normal","Family","Sis, can you send me that kheer recipe? Craving it!"
"normal","Travel","Just arrived in Delhi. The chaat here is calling my name. Catch up later!"
"fraud","Emotional Manipulation","Dad, I’m in jail in Chennai for a misunderstanding. Need Rs. 9,000 for release. Save me at http://legalrescue-india.com!"
"fraud","Investment Scams","Urgent! Make ₹50,000 in 10 days with our NIFTY strategy. Register: http://profitwave-ind.com"
"normal","Travel","Hey, reached Chennai! Can’t wait to try some idli-sambar. Call you in a bit."
"fraud","Tech Support Scam","Critical! Virus alert on your phone. Visit http://securetech-bharat.com to remove it now!"
"normal","Entertainment","Wanna join me for a Garba night this Navratri? Gonna be so much fun!"
"fraud","Loan Scam","Emergency funds! Rs. 2.5 lakhs loan ready. Apply before it’s gone: http://cashurgent.loanindia.net or call 9988001122."
"fraud","Fake Delivery Scam","Amazon Logistics: Delivery failed due to wrong address. Fix it at http://amazonlogi-fix.com before it’s returned!"
"fraud","Lottery Scam","Wow! Rs. 3 lakhs lottery prize is yours! Click http://winlottery.quickcash.in to confirm before it’s given to someone else!"
"fraud","Phishing","Urgent! Your SBI account is at risk. Verify now at http://sbi-securecheck.in or lose access! Call 1800-123-4567 if issues."
"fraud","Lottery Scam","Big News! Rs. 9 lakhs lottery prize is waiting! Secure it at http://lotteryreward.fastwin.in or it will be forfeited!"
"fraud","Service Fraud","Emergency! Your broadband is at risk of suspension. Settle dues at http://quick.netfix-ind.com immediately!"
"normal","Sports","Kabaddi trials happening at the stadium. Wanna check it out?"
"fraud","Phishing","Critical! Your Google Pay account is under threat. Reset password at http://gpay-securelink.in now!"
"fraud","Emotional Manipulation","Uncle, I’m stuck in Goa, wallet stolen. Need Rs. 4,000 to get home. Help at http://stranded-help.net. I’m begging!"
"normal","Service Inquiry","Hey, can I book a slot for a consultation this Friday?"
"normal","Education","Don’t miss the guest lecture on AI tomorrow at 10 AM in the auditorium. Be on time!"
"fraud","Phishing","URGENT! Your PAN Card details need verification. Click http://pan-secureupdate.in or face penalty from Income Tax Dept!"
"fraud","Impersonation","Hello, this is your ICICI Bank. Unusual activity detected. Secure your account: http://icici-verifysecure.co"
"fraud","Tech Support Scam","Danger! Your system is compromised. Call 1-855-987-6543 ASAP to protect your files!"
"fraud","Subscription Scam","Critical! Your ALTBalaji account needs urgent verification. Click http://altbalaji-check.in to avoid cancellation!"
"fraud","Service Fraud","Alert! Your internet bill is unpaid. Avoid penalty by paying at http://netbill.urgent-india.com right now!"
"normal","Recreation","Wanna join for a picnic at Elephanta Island this Sunday? Bring snacks!"
"fraud","Service Fraud","Immediate Action! Your Vi subscription is expiring. Renew at http://vi.secureupdate.in to avoid service loss!"
"fraud","Loan Scam","Warning! Rs. 1.8 lakhs loan offer expires in 24 hrs. Act fast: http://loanexpress.cashhub.org or call 9112233445."
"normal","Entertainment","Have u played the new BGMI update? Let’s squad up tonight and win some chicken dinners!"
"normal","Sports","Dude, the ISL football match is tomorrow. Kerala Blasters! You joining?"
"fraud","Tech Support Scam","Alert! Your PC is infected with a virus. Call 1800-555-1234 now to save your data before hackers take over!"
"fraud","Financial Fraud","Urgent Notice: Your bank account may be frozen. Confirm details at http://india-bankverify.com to prevent loss!"
"normal","Social","Hey, wanna grab some chai at the corner stall later?"
"normal","Delivery Update","Great news! Your package will be with you today, probably by noon."
"fraud","Tech Support Scam","Help! Your device is under attack. Click http://techsecure-hub.in to block hackers from accessing your data!"
"normal","Social","Hey, long time! Let’s catch up over some vada pav soon."
"normal","Entertainment","Yo, the new Arijit Singh song dropped. It’s pure magic, check it out!"
"fraud","Loan Scam","Don’t Wait! Rs. 3.5 lakh loan approved instantly. Apply at: http://fastcash.indialend.net or dial 9012349876."
"normal","Work Update","Don’t forget, team meeting at 2 pm in the conference room. See you there!"
"fraud","Loan Scam","Last Chance! Rs. 6 lakh loan pre-approved. Claim now at: http://cashflow.indiaquick.in before it’s gone!"
"fraud","Investment Scams","Alert! Join our Navratri investment scheme for 600% returns! Visit http://festivegainz.com Slots filling fast!"
"fraud","Loan Scam","Crisis Help! Rs. 5 lakh loan available now. Click: http://urgentfunds.desicash.in or contact 8909876543."
"fraud","Tech Support Scam","Urgent! Virus alert on your system. Visit http://protectmypc-india.net to secure it before it’s too late!"
"normal","Service Inquiry","Hi, what’s the status of my complaint about the water supply issue?"
"fraud","Fake Delivery Scam","DHL Express: Customs fee pending for your parcel. Pay Rs. 150 at http://dhl-indiapay.net or risk losing your item!"
"normal","Family","Hey everyone, movie night at home tonight? Vote for a film!"
"normal","Service Inquiry","Hello, is the Diwali offer still on for new connections? Pls confirm."
"fraud","Impersonation","Hey, it’s your boss, Anil Sir. Buy Rs.3000 worth of Amazon gift cards for a client. Text codes to 9123456789 ASAP!"
"fraud","Lottery Scam","Urgent! Rs. 1.5 lakhs lottery win! Claim immediately at http://fastcash-india.co or lose your prize!"
"normal","Delivery Update","Hey there, your shipment is en route! Likely to be delivered by 4 PM today."
"normal","Travel","Hey, meet me at Delhi Airport at 5 PM for our Mumbai trip."
"normal","Delivery Update","Hi, delivery update! Your parcel is coming today, expected around 5 PM."
"fraud","Investment Scams","Last chance! Triple your savings in 3 days with our plan! Visit http://rapidrich-ind.com Act before it’s gone!"
"fraud","Identity Theft","Emergency! Your PAN card is under threat. Act fast at http://pan-securezone.com or risk suspension!"
"fraud","Loan Scam","Alert! Rs. 2.8 lakh loan offer ending soon. Secure it at: http://rupeenow.quickloan.co or call 7899876543."
"normal","Education","Reminder: Submit your history essay on Google Classroom by 11 PM."
"fraud","Service Fraud","Warning! Your BSNL service is at risk. Pay urgently at http://bsnl-verifybill.in or lose access tonight!"
"normal","Education","Hey, prof cancelled today’s lecture. Free time, let’s grab chai!"
"fraud","Financial Fraud","Critical: Your Kotak Bank account is under threat. Verify at http://kotak-urgentcheck.com to avoid blocking!"
"fraud","Phishing","Urgent! Your SBI account shows suspicious activity. Secure it now at http://sbi-safeaccess.in. Don’t delay!"
"normal","Entertainment","Got passes for the Diwali mela concert. You in for some dhamaka?"
"normal","Entertainment","Yo, Comic Con India is next month in Mumbai. Let’s geek out together!"
"normal","Service Inquiry","Hey, when’s the next available slot for a technician visit in Mumbai?"
"fraud","Investment Scams","Immediate action needed! Invest ₹10,000, earn ₹1 lakh! Click http://wealthsurge-ind.com Offer valid today only!"
"fraud","Emotional Manipulation","Uncle, I’m in deep trouble! Lost everything in a theft. Need Rs. 5,000 urgently. Send to http://helpme-safe.in. Please don’t let me down!"
"fraud","Phishing","Alert! Unauthorized access to your HDFC account detected. Verify identity at http://hdfc-securelogin.co. Act fast!"
"fraud","Job Offer Scam","JOB ALERT! Earn ₹50,000/month from home. Urgent hiring! Apply now: http://indiajobfast.co.in"
"fraud","Fake Delivery Scam","FedEx India: Urgent! Your package delivery failed. Verify details at http://fedex-indiafix.com or it will be discarded!"
"fraud","Job Offer Scam","JOB VACANCY! ₹20,000/week. Start immediately. Click now: http://hirefastkolkata.net"
"normal","Sports","Yo, you up for a badminton session at the local club this evening?"
"normal","Travel","Reminder: Bring warm clothes for our Leh-Ladakh adventure."
"normal","Sports","Let’s watch the India-Pakistan cricket match at my place. Snacks on me!"
"fraud","Investment Scams","Emergency! 700% returns guaranteed this month! Join now at http://bharatgainz.com Slots closing soon!"
"fraud","Tech Support Scam","Alert! Malware threat detected. Fix it now at http://cyberguard-india.org or risk losing all your data!"
"normal","Entertainment","Bro, did you catch the latest IPL match? What a thriller last night!"
