"Type","Category","Message"
"fraud","Service Fraud","Warning! Your Jio number is at risk of suspension. Verify now at http://jio-securelink.in to avoid deactivation!"
"normal","Recreation","Yo, how about a bike ride to Matheran this Saturday? Early start, cool breeze!"
"normal","Sports","Hey, India vs England cricket match today at 7 PM. Wanna watch together at my place?"
"fraud","Fake Delivery Scam","Missed Delivery! Your Flipkart order is on hold. Reschedule now at http://flipkart-delivernow.in or lose it tomorrow!"
"fraud","Loan Scam","Emergency funds! Rs. 6 lakh loan approved for you. Act now: http://safeloan.bharatcash.in or call 7890123456 immediately!"
"normal","Recreation","Hi, there’s a new bowling alley in town. Wanna check it out tomorrow evening?"
"normal","Social","Saw your Holi pics on Insta. You look vibrant, man!"
"normal","Delivery Update","Good news! Your Amazon package has been shipped. Should reach you by tomorrow in Delhi."
"fraud","Subscription Scam","Don’t miss out! Your Netflix India sub ends tonight. Renew for Rs. 199 at http://netflix-indrenewal.com or lose access!"
"normal","Social","Hey, wanna grab some misal pav after work? My treat!"
"normal","Delivery Update","Your parcel from Myntra is on the way. Keep a check around 3 PM in Chennai."
"normal","Education","Reminder: Guest lecture on Digital Marketing at 2 PM today. Be there!"
"normal","Service Inquiry","Hi, can I book a slot for a car service this Saturday at your Pune branch?"
"normal","Entertainment","Bro, the new season of Mirzapur is out. Binge time! Watched yet?"
"normal","Sports","Bro, got tickets for the Delhi Daredevils match. Wanna join me at Feroz Shah Kotla?"
"fraud","Fake Delivery Scam","Missed Parcel! Your Snapdeal order is waiting. Confirm at http://snapdeal-deliverycheck.in or it’ll be returned tomorrow!"
"normal","Travel","Hey, just landed in Delhi! Traffic’s crazy, but I’ll be home soon."
"fraud","Tech Support Scam","Immediate Action Needed! Device hacked. Call 1800-555-8899 to protect your Aadhaar and bank data!"
"normal","Recreation","Hey, wanna join me for a cricket match at the local ground this Sunday? Bring your bat!"
"normal","Travel","Flight from Chennai got rescheduled to 8 PM. Will call once I land."
"fraud","Loan Scam","Instant loan of Rs. 7 lakhs waiting for you! Apply in 2 mins at http://easyfunds.bharatloan.in or lose this offer forever!"
"normal","Family","Dad, I’ll be late from office. Stuck in traffic near Connaught Place."
"fraud","Lottery Scam","You’ve hit the jackpot! Rs. 15 lakh from Chennai Lucky Draw is yours. Claim at http://chennailucky.prizegrab.in. Don’t delay!"
"fraud","Job Offer Scam","Immediate Hiring! ₹800/day from home. No skills? No problem! Click fast: http://easyworkindia.xyz"
"normal","Social","You coming to the Ganpati visarjan tomorrow? Let’s go together!"
"fraud","Emotional Manipulation","Aunty, it’s Priya. I’m stuck in Delhi with no money after a robbery. Please send Rs. 5,000 urgently via http://helpfamily-india.com. I’m scared!"
"fraud","Fake Delivery Scam","ATTENTION! Your Myntra order missed delivery. Reschedule fast at http://myntra-redeliver.co.in before it’s sent back!"
"normal","Travel","Can you check if we need visas for Dubai? Planning a quick getaway."
"fraud","Loan Scam","Urgent! Your Rs. 5 lakh loan is pre-approved. Click now: http://securecash.indialoans.net or call 9012345678 before expiry!"
"normal","Service Inquiry","Can I get a plumber to visit my place in Hyderabad tomorrow morning?"
"fraud","Loan Scam","Don’t miss! Rs. 8 lakh loan sanctioned for you. Click: http://trustfunds.bharatsecure.co or lose this chance forever!"
"fraud","Service Fraud","Threat! Your Vi mobile number will be terminated tonight. Secure it at http://vi-protectnow.in urgently!"
"normal","Service Inquiry","Can you confirm if my order for kurtas will reach by Raksha Bandhan?"
"fraud","Identity Theft","Your Aadhaar details are compromised! Click http://id-securebharat.in to lock your ID or face legal action."
"fraud","Emotional Manipulation","Mom, I’m in jail in Hyderabad for a misunderstanding. Pay Rs. 15,000 bail at http://legalhelp-telangana.org. Don’t let me suffer!"
"fraud","Emotional Manipulation","Bhaiya, it’s your little sister. I’m trapped in Chennai after a flood. Send Rs. 4,000 via http://disasteraid-tn.com. I’m alone and terrified!"
"fraud","Financial Fraud","DANGER: Your Canara Bank account is hacked! Reset password at http://canara-safe.in or risk total loss!"
"normal","Family","Mom, made it to the station. Train’s on time. See you soon!"
"normal","Work Update","Update: Client feedback received. Will share details in tomorrow’s meet."
"fraud","Lottery Scam","Congratulations! Rs. 12 lakh from Hyderabad Lottery is yours! Visit http://hydlottery.winmoney.in now or lose your chance!"
"fraud","Investment Scams","Urgent! Earn 5x returns on your money with our exclusive BSE scheme. Click now: http://fastprofit-mumbai.com"
"normal","Recreation","Let’s plan a trek to Lonavala next weekend. Monsoon vibes and maggi on the way!"
"fraud","Impersonation","Hi, it’s Priya from HR. I urgently need Rs. 5,000 for an office expense. Send to 9123456789. I’ll repay tomorrow. Please help!"
"normal","Work Update","Heads up, team! Presentation is due by Friday EOD. Let’s do this!"
"fraud","Financial Fraud","ALERT: Your ICICI Bank account is under threat! Secure it now at http://icici-protect.net or face immediate suspension!"
"fraud","Tech Support Scam","Critical! Virus on your phone linked to bank fraud. Call 1-844-666-7788 to stop transactions!"
"normal","Service Inquiry","Are there any discounts on AC servicing before the summer rush in Mumbai?"
"normal","Travel","Yo, booked a cab for our Agra trip. Taj Mahal, here we come!"
"normal","Social","Are you joining for the Diwali mela this weekend? Should be fun!"
"fraud","Lottery Scam","Warning! Your Rs. 9 lakh lottery prize expires in 24 hrs! Click http://indiaprize.securewin.in to claim before it’s too late!"
"normal","Social","How was your day? Let’s plan a quick meet at CCD tomorrow."
"normal","Entertainment","Hey, got tickets for the Diljit Dosanjh concert in Mumbai. Coming with me?"
"normal","Family","Bhai, let’s watch the India-Pakistan match together tonight!"
"fraud","Subscription Scam","URGENT: Your Hotstar account will be blocked in 24 hrs. Update payment at http://hotstar-securepay.co or lose shows!"
"normal","Family","Hey Didi, can you help with my Hindi homework later? Thanks!"
"fraud","Tech Support Scam","Emergency! Your phone is hacked. Protect your bank details. Click http://safe.indiafixtech.com or call 1800-222-4567."
"fraud","Service Fraud","Important! Your gas connection subsidy is pending. Claim it at http://gas-indclaim.co or lose benefits!"
"normal","Work Update","Yo, the Bangalore trip for the project is confirmed for next week. Pack light!"
"fraud","Financial Fraud","URGENT NOTICE: Your IDBI net banking is disabled. Reactivate at http://idbi-accessnow.com or lose access forever!"
"fraud","Phishing","ALERT! Your HDFC Bank account is under threat. Secure it now or face suspension: http://hdfc-securelogin.co.in"
"fraud","Lottery Scam","Winner! Rs. 8 lakh from Kolkata Jackpot is yours. Act now or lose it forever! Visit http://kolkatajackpot.getprize.in immediately!"
"fraud","Lottery Scam","Alert! Your Rs. 3 lakh lottery win will be cancelled if not claimed! Click http://lotteryindia.verifywin.co to save your prize now!"
"fraud","Identity Theft","Protect your identity now! Update Aadhaar details at http://safe-idindia.net or lose access to bank accounts."
"normal","Entertainment","Just heard the new Arijit Singh song. Pure magic! Have u listened?"
"fraud","Impersonation","ICICI Bank Notice: Your account is locked. Reset password at http://icici-fixlogin.net to prevent deactivation. Act fast!"
"fraud","Job Offer Scam","DANGER! Miss this ₹40,000/month job and regret forever. Apply NOW: http://urgentjobsindia.org"
"fraud","Fake Delivery Scam","Amazon Notice: Pay ₹49 for urgent delivery of your package at http://amazon-quickship.in or risk losing your order!"
"fraud","Identity Theft","Critical! Someone is using your Aadhaar. Verify at http://id-checkbharat.in or face account freeze!"
"fraud","Fake Delivery Scam","Flipkart Alert: Delivery attempt failed. Reschedule at http://flipkart-urgentdelivery.in or your order will be cancelled!"
"fraud","Phishing","SBI Alert! Suspicious activity detected. Protect your savings, click: http://sbi-accountsafe.net. Don’t risk your money!"
"normal","Travel","Reminder: Pack light for our Leh trek. It’s gonna be cold up there!"
"normal","Sports","Hey, just booked a slot for table tennis at the community club. Join me at 5?"
"fraud","Tech Support Scam","Alert! Malware detected on your phone. Click http://secure.techindiahelp.com to fix now or risk data theft!"
"fraud","Investment Scams","Warning! Miss this & regret forever! 300% returns on gold investment. Click: http://goldrush-kolkata.com"
"fraud","Service Fraud","Urgent! Your Airtel DTH service is expiring today. Recharge now at http://airtel-dthrenew.in or lose access!"
"normal","Work Update","Meeting shifted to 11 am at the Delhi office. Be there, yaar!"
"normal","Travel","Just got my tickets for the Kerala backwaters trip. Super excited!"
"normal","Work Update","Just FYI, the server will be down for maintenance tonight at 10 pm."
"fraud","Phishing","Your Vodafone bill is overdue. Avoid disconnection, pay now: http://vodafone-billpay.in or call 9876543210."
"fraud","Emotional Manipulation","Mummy, I’ve been in a bike crash in Bangalore. I’m bleeding. Need Rs. 8,000 now. Click http://urgentcare-karnataka.net. Save me!"
"fraud","Job Offer Scam","WARNING! Last chance for ₹20,000/month job in Bangalore. Apply today or lose it! Link: http://bnglrjobsnow.com"
"fraud","Investment Scams","Shocking offer! Triple your savings with our SEBI-backed scheme. Act fast: http://trustfund-hyderabad.com"
"fraud","Impersonation","SBI Alert! Your account is at risk. Verify identity immediately at http://sbi-securecheck.in or face suspension. Don’t delay!"
"fraud","Subscription Scam","Your JioTV subscription is expiring today! Renew now for just Rs. 99 at http://jiotv-renewal.in or lose access!"
"fraud","Tech Support Scam","Panic! Hacker accessing your device. Secure it now at http://indiafixsupport.in or call 1800-888-4455."
"normal","Work Update","Team, let’s wrap up the pending tasks before the long Holi weekend."
"normal","Recreation","Hi, are you up for a dance class at the community center? Bollywood moves await!"
"fraud","Emotional Manipulation","Dad, I’ve been in an accident in Mumbai. I’m hurt bad. Need Rs. 10,000 for surgery. Click http://emergencycare-mh.in now. Please hurry!"
"fraud","Investment Scams","Alert! Secure your future with our RBI-approved fund. Double returns guaranteed! Visit: http://safeinvest-delhi.com"
"fraud","Emotional Manipulation","Papa, it’s your daughter. I’m in Pune, sick and helpless. Send Rs. 6,000 for meds via http://healthcrisis-maha.com. I’m begging you!"
"normal","Recreation","Let’s plan a day trip to Matheran soon. Train ride and scenic views! Thoughts?"
"fraud","Emotional Manipulation","Mom, I’m injured in Chennai. Hospital won’t treat without Rs. 8,000. Click http://medicare-india.co. I’m in so much pain!"
"fraud","Identity Theft","Emergency! Your PAN card is under threat. Verify details at http://pan-verifyindia.net or risk fines!"
"normal","Recreation","Wanna join for a cricket match at the local ground tomorrow? Bring your energy!"
"normal","Social","Hi, can we meet at Connaught Place for lunch tomorrow? 1 PM works?"
"normal","Recreation","Wanna play table tennis at the community hall? I’m free this evening."
"fraud","Impersonation","Hi, it’s your boss Mr. Sharma. Need ₹20,000 transferred for a client deal. Use http://quickpay-corp.in. Don’t delay!"
"normal","Sports","Yo, wanna join for a quick gully cricket game this evening near Bandra?"
"fraud","Fake Delivery Scam","Urgent! Your Flipkart parcel is stuck at customs. Pay Rs.199 clearance fee now: http://flipkart-clearance.in/pay"
"normal","Delivery Update","Hi, your parcel is out for delivery. It’ll be with you soon in Kolkata!"
"normal","Travel","Booked a cab for our Agra trip. Taj Mahal, here we come! Excited?"
"normal","Travel","Hey, can you pick me up from Mumbai airport at 11 AM tomorrow? Thanks!"
"fraud","Tech Support Scam","Danger! Malware on your device. Protect your Aadhaar details by calling 1-855-444-6677 now!"
"fraud","Identity Theft","Urgent! Your Aadhaar is at risk of being misused. Lock it now at http://protect-aadhaar.in or face penalties!"
"fraud","Job Offer Scam","DON’T MISS! High-paying job in Pune, ₹40,000/month. Hurry: http://punejoboffer.in"
"normal","Delivery Update","Great news! Your order is delivered. Thanks for choosing us in Ahmedabad."
"fraud","Loan Scam","Don’t miss out! Rs. 7 lakh loan approved for you. Click fast: http://bigloan.indiaapprove.in or risk losing it!"
"fraud","Investment Scams","Last chance! Invest in our crypto scheme & earn 300% returns by Diwali. Hurry: http://quickrich-mumbai.com"
"fraud","Fake Delivery Scam","Your Snapdeal package awaits pickup. Pay Rs.99 storage fee at http://snapdeal-storepay.in to avoid return."
"normal","Delivery Update","Yo, your order is coming today! Likely by 6 PM in Bangalore. Stay tuned."
"fraud","Impersonation","Dear Sir/Madam, your Kotak account is compromised. Reset password at http://kotak-securelink.in or lose access permanently."
"fraud","Lottery Scam","Lucky Winner! Rs. 3 lakh awaits you in KBC Lottery! Call 9876543210 or click http://kbcwin.officialprize.in to claim!"
"fraud","Fake Delivery Scam","Critical! Your Blue Dart delivery is delayed. Update info at http://bluedart-verify.in/update or risk losing it!"
"normal","Service Inquiry","Hi, can you send details of your Diwali special offers?"
"normal","Social","Let’s grab some misal pav this weekend. Saturday at 11 near the station?"
"fraud","Impersonation","ICICI Bank Alert: Suspicious activity detected. Secure your account at http://icici-protectlogin.com before it’s frozen. Now!"
"fraud","Job Offer Scam","HURRY! Remote job, ₹800/day. No skills required. Secure spot: http://easyjobindia.live"
"normal","Education","Hey, reminder to submit your History project by tomorrow. Don’t miss the deadline!"
"fraud","Financial Fraud","Win a Rs. 2 Lakh cash prize from SBI Lottery! Claim at http://sbi-luckydraw.org before it’s too late!"
"fraud","Investment Scams","Warning! Miss this investment, regret forever! ₹1 Lakh becomes ₹10 Lakh in weeks. Click: http://safegain-kolkata.com"
"fraud","Job Offer Scam","IMMEDIATE HIRING! Earn ₹35,000 from home. Last chance! Click: http://homeworkindia.xyz"
